2-theta,Intensity
7.76000,0.00371
7.77000,0.00370
7.78000,0.00370
7.79000,0.00369
7.80000,0.00368
7.81000,0.00368
7.82000,0.00367
7.83000,0.00367
7.84000,0.00366
7.85000,0.00365
7.86000,0.00365
7.87000,0.00364
7.88000,0.00363
7.89000,0.00363
7.90000,0.00362
7.91000,0.00362
7.92000,0.00361
7.93000,0.00360
7.94000,0.00360
7.95000,0.00359
7.96000,0.00359
7.97000,0.00358
7.98000,0.00358
7.99000,0.00357
8.00000,0.00356
8.01000,0.00356
8.02000,0.00355
8.03000,0.00355
8.04000,0.00354
8.05000,0.00353
8.06000,0.00353
8.07000,0.00352
8.08000,0.00352
8.09000,0.00351
8.10000,0.00351
8.11000,0.00350
8.12000,0.00349
8.13000,0.00349
8.14000,0.00348
8.15000,0.00348
8.16000,0.00347
8.17000,0.00347
8.18000,0.00346
8.19000,0.00346
8.20000,0.00345
8.21000,0.00345
8.22000,0.00344
8.23000,0.00343
8.24000,0.00343
8.25000,0.00342
8.26000,0.00342
8.27000,0.00341
8.28000,0.00341
8.29000,0.00340
8.30000,0.00340
8.31000,0.00339
8.32000,0.00339
8.33000,0.00338
8.34000,0.00338
8.35000,0.00337
8.36000,0.00337
8.37000,0.00336
8.38000,0.00336
8.39000,0.00335
8.40000,0.00335
8.41000,0.00334
8.42000,0.00334
8.43000,0.00333
8.44000,0.00333
8.45000,0.00332
8.46000,0.00332
8.47000,0.00331
8.48000,0.00331
8.49000,0.00330
8.50000,0.00330
8.51000,0.00329
8.52000,0.00329
8.53000,0.00328
8.54000,0.00328
8.55000,0.00327
8.56000,0.00327
8.57000,0.00326
8.58000,0.00326
8.59000,0.00326
8.60000,0.00325
8.61000,0.00325
8.62000,0.00324
8.63000,0.00324
8.64000,0.00323
8.65000,0.00323
8.66000,0.00322
8.67000,0.00322
8.68000,0.00321
8.69000,0.00321
8.70000,0.00320
8.71000,0.00320
8.72000,0.00320
8.73000,0.00319
8.74000,0.00319
8.75000,0.00318
8.76000,0.00318
8.77000,0.00317
8.78000,0.00317
8.79000,0.00317
8.80000,0.00316
8.81000,0.00316
8.82000,0.00315
8.83000,0.00315
8.84000,0.00314
8.85000,0.00314
8.86000,0.00314
8.87000,0.00313
8.88000,0.00313
8.89000,0.00312
8.90000,0.00312
8.91000,0.00311
8.92000,0.00311
8.93000,0.00311
8.94000,0.00310
8.95000,0.00310
8.96000,0.00309
8.97000,0.00309
8.98000,0.00309
8.99000,0.00308
9.00000,0.00308
9.01000,0.00307
9.02000,0.00307
9.03000,0.00307
9.04000,0.00306
9.05000,0.00306
9.06000,0.00305
9.07000,0.00305
9.08000,0.00305
9.09000,0.00304
9.10000,0.00304
9.11000,0.00303
9.12000,0.00303
9.13000,0.00303
9.14000,0.00302
9.15000,0.00302
9.16000,0.00301
9.17000,0.00301
9.18000,0.00301
9.19000,0.00300
9.20000,0.00300
9.21000,0.00300
9.22000,0.00299
9.23000,0.00299
9.24000,0.00299
9.25000,0.00298
9.26000,0.00298
9.27000,0.00297
9.28000,0.00297
9.29000,0.00297
9.30000,0.00296
9.31000,0.00296
9.32000,0.00296
9.33000,0.00295
9.34000,0.00295
9.35000,0.00295
9.36000,0.00294
9.37000,0.00294
9.38000,0.00293
9.39000,0.00293
9.40000,0.00293
9.41000,0.00292
9.42000,0.00292
9.43000,0.00292
9.44000,0.00291
9.45000,0.00291
9.46000,0.00291
9.47000,0.00290
9.48000,0.00290
9.49000,0.00290
9.50000,0.00289
9.51000,0.00289
9.52000,0.00289
9.53000,0.00288
9.54000,0.00288
9.55000,0.00288
9.56000,0.00287
9.57000,0.00287
9.58000,0.00287
9.59000,0.00286
9.60000,0.00286
9.61000,0.00286
9.62000,0.00285
9.63000,0.00285
9.64000,0.00285
9.65000,0.00284
9.66000,0.00284
9.67000,0.00284
9.68000,0.00284
9.69000,0.00283
9.70000,0.00283
9.71000,0.00283
9.72000,0.00282
9.73000,0.00282
9.74000,0.00282
9.75000,0.00281
9.76000,0.00281
9.77000,0.00281
9.78000,0.00280
9.79000,0.00280
9.80000,0.00280
9.81000,0.00280
9.82000,0.00279
9.83000,0.00279
9.84000,0.00279
9.85000,0.00278
9.86000,0.00278
9.87000,0.00278
9.88000,0.00277
9.89000,0.00277
9.90000,0.00277
9.91000,0.00277
9.92000,0.00276
9.93000,0.00276
9.94000,0.00276
9.95000,0.00275
9.96000,0.00275
9.97000,0.00275
9.98000,0.00275
9.99000,0.00274
 10.00000,0.00274
 10.01000,0.00274
 10.02000,0.00273
 10.03000,0.00273
 10.04000,0.00273
 10.05000,0.00273
 10.06000,0.00272
 10.07000,0.00272
 10.08000,0.00272
 10.09000,0.00272
 10.10000,0.00271
 10.11000,0.00271
 10.12000,0.00271
 10.13000,0.00270
 10.14000,0.00270
 10.15000,0.00270
 10.16000,0.00270
 10.17000,0.00269
 10.18000,0.00269
 10.19000,0.00269
 10.20000,0.00269
 10.21000,0.00268
 10.22000,0.00268
 10.23000,0.00268
 10.24000,0.00268
 10.25000,0.00267
 10.26000,0.00267
 10.27000,0.00267
 10.28000,0.00267
 10.29000,0.00266
 10.30000,0.00266
 10.31000,0.00266
 10.32000,0.00266
 10.33000,0.00265
